Genotype Germplasm Treatment Compartment Block Plot fASV113 fASV149 fASV249 fASV115 fASV159 fASV122 fASV154 fASV537 fASV97 fASV145 fASV126 fASV476 fASV44 fASV269 fASV216 fASV180 fASV300 fASV215 fASV121 fASV123 fASV280 fASV236 fASV242 fASV339 fASV297 fASV293 fASV95 fASV3 fASV70 fASV60 fASV12 fASV94 fASV316 fASV395 fASV176 fASV186 fASV125 fASV329 fASV11 fASV21 fASV19 fASV455 fASV311 fASV68 fASV34 fASV148 fASV417 fASV499 fASV62 fASV36 fASV588 fASV196 fASV88 fASV197 fASV224 fASV559 fASV273 fASV65 fASV35 fASV228 fASV323 fASV509 fASV508 fASV105 fASV120 fASV128 fASV26 fASV810 fASV510 fASV327 fASV378 fASV112 fASV590 fASV257 fASV255 fASV337 fASV291 fASV84 fASV158 fASV100 fASV99 fASV325 fASV246 fASV310 fASV391 fASV23 fASV163 fASV178 fASV248 fASV464 fASV367 fASV517 fASV374 fASV37 fASV22 fASV57 fASV39 fASV25 fASV49 fASV9 fASV31 fASV78 fASV42 fASV183 fASV422 fASV411 fASV41 fASV331 fASV440 fASV165 fASV187 fASV58 fASV80 fASV271 fASV147 fASV332 fASV160 fASV106 fASV111 fASV140 fASV185 fASV127 fASV91 fASV376 fASV67 fASV222 fASV138 fASV87 fASV24 fASV86 fASV76 fASV119 fASV598 fASV90 fASV166 fASV245 fASV136 fASV13 fASV167 fASV10 fASV77 fASV29 fASV45 fASV436 fASV43 fASV102 fASV66 fASV153 fASV109 fASV162 fASV64 fASV50 fASV239 fASV320 fASV71 fASV130 fASV15 fASV17 fASV85 fASV6 fASV53 fASV81 fASV114 fASV135 fASV124 fASV150 fASV506 fASV108 fASV152 fASV101 fASV20 fASV7 fASV243 fASV8 fASV5 fASV2 fASV1 fASV485 fASV319 fASV371 fASV220 fASV74 fASV375 fASV14 fASV93 fASV400 fASV170 fASV288 fASV258 fASV386 fASV451 fASV569 fASV301 fASV98 fASV191 fASV214 fASV203 fASV175 fASV267 fASV318 fASV270 fASV61 fASV322 fASV40 fASV30 fASV27 fASV103 fASV155 fASV59 fASV16 fASV82 fASV380 fASV104 fASV523 fASV131 fASV32 fASV28 fASV192 fASV268 fASV206 fASV349 fASV359 fASV360 fASV252 fASV33 fASV139 fASV223 fASV189 fASV132 fASV4 fASV47 fASV213 fASV56 fASV194 fASV157 fASV96 fASV202 fASV79 fASV18 fASV83 fASV231 fASV72 fASV55 fASV46 fASV173 fASV69 fASV305 fASV133
CK_S65_1 X65 Landrace CK Rhizosphere 1 P11 0 14 4 10 9 0 11 0 43 0 19 0 0 0 0 0 0 55 25 16 0 0 7 0 10 0 7 572 0 0 163 0 0 5 6 2 0 0 273 55 55 0 0 8 0 0 0 0 13 170 0 0 73 12 0 0 0 0 425 0 0 0 0 0 0 16 575 0 0 7 0 0 0 30 5 6 0 5 8 45 134 0 22 0 0 803 0 14 9 0 0 2 7 0 0 5 631 1052 0 146 19 0 0 0 2 0 2 0 0 15 18 0 0 0 16 0 0 0 24 16 0 0 0 3 6 0 13 0 425 0 27 0 0 63 0 0 18 3120 12 1051 0 41 0 0 96 0 26 54 0 130 39 317 0 208 10 392 4314 3339 198 485 638 26 36 6 0 0 0 38 0 0 204 1182 15 427 108 124 48419 0 0 0 0 67 0 668 45 4 101 2 0 0 0 0 13 20 14 6 0 14 0 0 9 2 0 25 0 132 72 54 0 1276 0 18 0 0 53 440 0 0 47 0 0 0 0 38 413 0 23 75 0 2633 224 0 122 5 23 47 8 51 46 61 0 0 0 142 9 47 6 0
CK_S65_2 X65 Landrace CK Rhizosphere 2 P11 10 0 0 12 0 0 11 0 0 31 0 0 9 5 0 9 0 0 15 0 0 0 0 0 5 7 8 879 0 0 111 0 0 0 3 0 0 0 115 94 63 2 0 0 21 3 0 0 24 23 0 0 58 13 0 0 0 10 52 54 0 0 0 0 20 6 173 0 0 0 0 11 0 4 0 10 0 32 7 17 13 12 0 0 0 141 0 0 0 0 0 0 5 0 10 0 0 0 5039 15599 1594 1673 181 0 0 0 43 13 0 24 0 0 3 0 0 3 2 0 4 7 0 2 0 0 0 0 0 0 94 0 18 0 0 34 5 0 15 289 5 1257 0 16 2 0 90 39 0 0 0 7 20 58 0 0 36 12 480 519 35 205 453 176 16 0 51 26 0 18 0 8 58 35526 0 516 3739 4774 18100 0 0 0 0 0 0 741 38 0 7 0 0 0 2 0 0 16 3 0 0 0 0 0 2 8 0 20 0 618 0 0 0 8845 61 0 0 0 19 5092 0 0 0 0 0 0 0 0 111 0 0 0 0 311 22 0 30 0 12 15 3 83 151 4 0 8 0 9 0 33 0 22
CK_S65_3 X65 Landrace CK Rhizosphere 3 P11 0 9 0 6 0 0 9 0 9 0 0 0 5 5 0 0 0 12 11 0 0 0 0 0 0 0 0 190 0 0 110 0 0 0 0 6 0 0 25 17 19 0 0 13 0 0 0 0 0 5 0 0 20 0 0 0 0 0 17 0 5 0 0 0 2 7 132 0 3 0 0 5 0 0 0 0 0 0 0 22 4 0 0 0 0 101 0 0 0 0 0 0 0 0 372 443 0 8 0 1029 3 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 30 4 0 0 324 0 33 0 0 21 5 0 15 339 9 1897 9 57 0 0 45 0 14 0 0 0 24 200 0 0 38 11 553 520 86 2542 39 0 8 0 11 0 0 0 30 0 113 1089 0 659 3154 53798 32764 0 4 0 0 0 0 206 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 21 0 8 4 64 0 5 8 134 0 0 0 0 0 70 19 0 0 0 0 0 0 0 106 0 0 0 0 847 156 0 21 4 0 10 6 8 35 12 0 0 9 43 3 0 0 30
CK_S66_1 X66 Landrace CK Rhizosphere 1 P11 17 0 0 31 6 4 59 0 207 0 27 0 5 0 0 11 6 18 0 24 0 69 0 0 6 15 298 1858 0 0 450 0 3 7 8 24 3 0 157 71 80 5 4 0 9 9 0 0 0 68 0 0 169 45 0 2 0 22 590 0 0 0 0 3 0 36 685 0 5 3 0 0 0 30 14 6 0 13 27 71 26 0 13 0 0 2231 126 7 26 0 0 0 0 0 0 0 0 17 0 16078 5733 941 4032 0 8 9 0 16 0 46 13 0 8 0 40 11 0 0 3 34 0 0 0 0 8 27 0 0 126 0 21 18 0 128 31 2 44 6623 33 443 0 44 0 0 51 0 24 12 0 0 33 253 0 0 6 76 629 436 27 621 244 0 69 0 0 0 7 23 0 0 876 4132 15 263 13764 84 20804 0 3 0 10 218 0 2055 104 13 7 0 15 0 4 0 5 82 21 0 65 0 0 0 18 10 0 55 0 347 48 0 0 253 7 0 35 0 0 178 269 18 0 0 12 3 10 1031 1035 0 62 0 90 3250 146 27 244 0 6 154 39 72 100 61 0 0 4 119 11 26 19 0
CK_S66_2 X66 Landrace CK Rhizosphere 2 P11 25 0 0 12 0 0 16 0 57 0 13 3 19 0 0 11 0 35 20 0 16 0 0 0 0 0 6 4538 0 0 166 0 5 2 0 0 0 0 60 43 42 0 2 0 24 0 0 0 8 39 0 0 19 0 0 0 0 15 183 5 0 0 0 86 0 16 272 0 0 0 6 103 0 9 0 7 16 22 0 18 21 0 0 11 0 401 0 8 0 0 0 0 0 5 0 0 0 0 14 16981 46 14 48 0 0 0 0 0 25 11 9 0 0 0 0 0 0 0 3 0 0 0 0 0 0 9 0 0 115 0 77 0 0 24 4 0 17 468 8 1611 0 42 0 5 63 0 0 0 3 0 14 46 0 0 24 0 164 259 24 147 58 747 36 0 82 49 0 59 0 0 88 6964 0 1840 13267 9212 6097 0 0 0 0 77 0 1083 27 3 7 5 0 0 2 0 0 29 0 0 0 0 19 0 0 8 0 50 0 68 34 0 4 21228 1949 0 0 0 14 117 0 17 0 0 4 0 30 9 263 0 23 0 0 1975 46 20 142 0 8 9 8 38 201 18 0 4 0 5 6 3 0 10
CK_S66_3 X66 Landrace CK Rhizosphere 3 P11 0 0 0 0 0 0 7 0 0 0 16 0 38 12 0 0 10 0 17 0 0 0 9 0 0 0 22 282 62 0 83 0 0 0 3 0 0 0 21 0 10 0 0 0 7 0 0 0 14 17 0 0 35 12 0 0 0 0 77 3 0 0 0 306 0 14 122 0 0 0 0 5 0 0 0 0 3 0 11 31 17 0 0 0 0 272 0 5 0 0 0 0 0 0 3 0 0 0 0 6837 14 0 0 0 0 0 2 0 0 6 0 17 0 0 0 0 6 0 0 0 0 0 0 0 73 0 9 0 35 0 4 0 0 32 12 0 19 4855 17 492 0 25 0 0 51 0 11 0 0 0 39 51 0 0 12 0 174 145 15 489 52 0 25 0 10 0 0 0 0 41 235 10207 52 356 18253 21194 12849 0 0 0 0 0 0 567 39 2 3 0 0 0 0 0 0 12 0 0 0 9 0 0 0 0 0 17 15 206 10 0 33 88 5 0 7 0 0 32 69 0 0 0 0 0 12 101 197 0 0 26 0 411 93 0 55 8 8 35 17 12 52 21 0 16 48 16 6 2 0 49
CK_S67_1 X67 Landrace CK Rhizosphere 1 P05 0 76 0 26 6 0 37 0 44 0 20 9 0 4 0 6 0 20 28 12 0 3 0 12 0 0 25 360 0 0 91 0 0 3 7 0 0 0 90 24 40 0 0 0 5 0 0 0 9 44 0 0 125 34 0 0 0 6 723 0 0 3 3 811 0 25 481 0 0 2 0 4 0 17 0 6 2 542 10 36 24 10 0 0 0 1110 0 11 15 0 3 0 0 0 0 0 11 0 0 18493 10 0 16 0 0 0 0 0 0 10 47 32 0 0 9 2 0 0 0 23 0 0 0 0 312 9 13 0 12723 0 27 0 8 83 15 0 18 10731 150 547 0 18 0 0 44 0 0 0 5 0 14 67 0 0 0 0 206 90 32 194 52 0 36 5 0 0 0 19 0 0 132 18667 21 413 174 291 1889 0 3 0 3 72 0 1250 62 3 4 0 0 2 2 2 2 31 16 0 0 35 0 3 10 0 0 28 0 819 50 0 0 9334 9 0 20 0 0 596 50 26 27 4 0 0 5 117 1162 0 393 0 0 4450 322 34 546 9 12 59 24 79 51 28 24 0 0 19 5 0 0 0
CK_S67_2 X67 Landrace CK Rhizosphere 2 P05 51 25 0 169 5 0 27 0 58 0 16 0 71 6 0 0 0 6 20 0 32 23 5 0 0 6 26 795 0 0 131 0 0 3 7 0 0 0 89 65 80 2 6 0 19 5 0 0 22 35 0 0 0 23 0 0 0 7 504 5 0 0 0 0 0 22 339 0 0 3 0 30 0 9 12 0 12 8 9 13 50 20 0 0 0 443 57 14 9 0 0 0 0 11 0 0 0 0 18 43641 8308 212 7221 0 0 0 0 27 0 22 27 0 0 0 13 5 0 4 6 15 0 0 0 4 4 5 0 0 120 0 56 0 7 82 7 0 12 1628 12 6688 0 7 0 0 104 0 0 0 0 0 7 104 0 0 130 9 239 243 24 123 40 198 41 0 77 60 0 94 164 0 70 9793 15 1157 1916 5423 4373 3 0 0 0 64 0 800 50 3 8 0 0 0 0 0 11 36 19 0 0 0 30 5 0 10 20 54 2 411 0 82 5 1831 132 0 11 0 0 262 147 18 0 9 0 0 6 0 314 0 10 0 0 592 88 17 33 0 18 25 0 312 144 19 0 410 0 6 19 7 0 20
CK_S67_3 X67 Landrace CK Rhizosphere 3 P05 0 0 0 0 0 0 14 0 0 0 19 0 18 0 0 0 0 0 9 0 0 0 0 0 0 0 9 511 26 0 252 0 0 0 4 0 0 0 13 10 0 0 2 0 15 0 0 0 0 16 0 0 20 0 0 0 0 0 16 0 0 0 0 2 0 0 60 0 0 0 0 0 0 0 0 0 0 6 8 13 12 0 0 0 0 102 0 0 0 0 0 0 2 2 0 0 0 0 0 14774 2102 2374 0 0 0 0 42 0 0 11 0 1224 0 0 0 0 0 0 0 2 0 0 5 0 70 0 13 0 150 0 0 7 0 25 0 0 0 357 3 2540 8 144 0 0 336 45 14 0 0 0 147 404 0 16 46 85 1805 1389 174 21940 277 30 8 0 68 25 0 0 32 24 0 350 0 448 7995 13355 24545 0 0 0 2 0 0 132 9 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 2 4 0 13 16 637 17 0 31 233 0 0 0 41 0 29 135 0 0 0 0 0 0 0 91 0 0 28 0 401 42 0 16 0 5 11 6 18 68 14 0 112 44 372 5 13 6 881
CK_S68_1 X68 Landrace CK Rhizosphere 1 P14 63 55 45 12 135 0 31 14 90 0 37 0 7 15 0 0 0 58 70 22 0 19 17 0 12 58 5 2135 31 149 268 0 12 14 12 14 0 0 478 387 247 3 2 8 9 7 0 0 19 346 9 13 788 39 0 4 0 13 3629 0 6 4 2 3 0 69 900 0 0 11 0 0 0 38 10 0 0 6 15 41 39 0 0 11 0 2322 99 18 704 5 0 6 3 0 64 0 1543 2402 0 191 21 0 14 0 10 5 0 14 0 94 32 21 0 0 13 0 0 0 0 85 442 0 0 2 12 16 0 0 337 45 34 13 0 158 35 0 36 2270 49 386 0 100 0 0 143 0 8 0 10 0 185 694 0 0 12 24 2767 2090 106 300 952 0 110 92 0 0 0 62 25 0 308 2336 27 427 235 476 48301 0 6 5 13 584 0 3063 116 7 6 0 4 0 5 0 6 119 42 22 26 48 23 2 8 17 0 49 0 225 41 0 15 1005 229 0 61 0 11 338 156 20 39 0 5 3 0 31 1791 0 83 0 7 3123 506 18 468 65 11 72 33 476 98 60 0 0 5 102 27 9 11 3
CK_S68_2 X68 Landrace CK Rhizosphere 2 P14 0 10 0 10 2 0 30 0 54 0 20 5 14 0 4 0 0 8 14 56 0 4 51 19 0 0 11 4049 0 84 1341 222 22 0 5 0 0 0 98 101 112 2 5 0 47 2 0 0 30 45 0 0 64 15 0 0 0 10 272 0 4 0 0 19 0 29 465 0 0 0 0 12 0 16 3 0 0 23 14 32 133 0 19 0 0 427 0 44 4 0 0 0 2 0 0 0 0 0 14 18626 39 0 37 0 0 0 0 15 0 17 0 0 2 0 0 0 0 0 11 2 0 0 0 2 0 6 18 0 353 0 41 0 0 49 25 0 33 1111 14 1488 0 31 0 6 79 40 32 0 0 0 12 59 0 0 65 0 288 190 43 425 41 208 47 0 45 26 0 30 91 14 47 3277 9 34032 6877 1646 9867 0 5 0 0 74 0 765 33 5 0 0 0 0 0 2 13 26 0 0 22 0 0 0 21 36 0 27 0 91 0 21 6 6989 1227 0 26 0 0 146 0 0 42 0 7 0 0 0 174 0 41 0 0 799 62 0 47 0 16 17 0 43 3667 12 0 16 0 8 29 4 0 13
CK_S68_3 X68 Landrace CK Rhizosphere 3 P14 0 0 0 0 0 0 12 0 15 0 11 0 56 10 0 0 0 0 0 17 0 0 0 0 9 0 2 729 0 0 833 0 8 4 4 0 0 0 26 16 19 0 0 0 0 0 0 0 9 9 0 0 25 0 0 5 0 0 90 0 0 0 0 6 0 9 213 0 0 0 0 0 0 0 0 0 4 16 15 23 137 0 0 27 0 38 0 3 0 0 0 0 0 0 3 0 0 0 0 4430 0 11 0 0 0 0 0 0 8 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 35 14 12 0 28 0 122 0 0 19 0 0 0 584 0 187 0 35 0 0 53 0 9 0 0 0 15 46 0 0 16 0 319 177 82 1355 67 32 9 5 9 0 3 0 0 27 24 3618 0 500 3878 35102 29721 0 2 0 0 0 0 446 46 10 0 0 0 4 0 0 5 9 0 0 0 0 0 0 3 2 0 34 105 82 0 7 3551 239 0 5 0 0 0 31 147 6 0 0 0 0 0 0 330 0 0 0 0 597 27 0 20 0 0 11 3 10 553 20 0 0 100 106 3 6 0 50
CK_S69_1 X69 Landrace CK Rhizosphere 1 P08 0 6 0 12 4 0 19 0 36 0 0 5 0 0 0 12 0 8 27 0 0 0 0 0 0 10 2 1092 0 0 137 0 0 3 0 0 0 0 132 42 53 0 0 0 2 0 3 0 13 95 0 0 52 18 0 2 0 12 79 0 0 0 0 0 20 5 130 0 0 0 0 0 0 0 6 0 0 0 14 8 23 0 0 0 0 434 0 3 8 0 0 0 2 0 0 0 63 161 0 865 21 0 19 0 0 2 0 0 0 17 14 0 19 0 2 0 0 0 3 11 0 0 0 3 7 0 0 0 428 4 0 0 0 19 4 0 17 395 13 241 0 81 0 0 13 0 6 0 0 0 13 250 0 0 7 6 1118 648 28 235 124 30 11 8 0 0 0 16 0 0 67987 1048 0 437 125 223 15516 0 0 0 3 0 0 1063 25 0 0 0 0 0 0 0 9 11 0 0 20 0 0 0 0 9 0 26 0 61 27 0 0 196 0 0 0 0 0 34 0 10 0 0 0 0 0 15 206 0 7 0 0 1383 57 30 99 0 3 10 0 16 16 0 12 0 0 73 5 6 0 0
CK_S69_2 X69 Landrace CK Rhizosphere 2 P08 20 39 0 11 3 0 29 0 153 0 0 0 12 44 0 0 0 13 29 0 47 6 0 0 0 0 14 18066 0 0 0 0 0 5 11 0 3 0 242 435 279 0 9 0 61 6 0 0 93 201 0 0 16 0 0 0 0 23 179 85 21 0 0 0 193 42 861 0 0 5 0 29 5 8 7 8 0 1939 18 34 87 0 0 24 0 695 56 31 20 2 0 0 0 353 262 0 0 0 21 1551 39 0 55 0 4 3 0 35 0 18 0 26 2 0 2 0 12 0 5 15 0 0 5 2 0 0 0 0 288 92 27 0 0 52 23 11 29 201 22 1602 0 10 8 0 3358 4099 124 0 0 0 22 77 0 7 729 9 600 788 1120 1354 39 183 56 0 1481 1496 0 121 109 0 191 3807 0 1540 823 1666 24852 0 5 0 7 54 0 694 33 12 0 2 0 0 0 2 11 40 18 0 0 22 0 0 3 128 0 33 2 94 0 39 0 1390 70 0 19 0 50 391 0 22 0 0 5 3 0 21 257 0 21 0 0 1074 141 0 72 4 16 62 13 61 556 14 0 5 0 14 4 0 0 15
CK_S69_3 X69 Landrace CK Rhizosphere 3 P08 0 0 0 22 0 0 17 0 0 0 8 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 33 402 59 0 92 0 0 0 0 0 0 0 31 27 9 0 0 0 6 0 0 0 6 24 0 0 6 0 0 0 0 0 23 0 0 0 0 2 0 0 52 0 0 0 0 0 0 0 0 0 0 0 9 7 0 0 0 0 0 70 0 6 0 0 0 0 0 0 0 0 0 0 0 1468 18 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 45 0 263 20 0 0 0 17 10 11 4 422 0 2848 0 40 0 0 182 0 14 0 0 0 945 82 0 23 120 15 967 695 40 2433 77 0 6 7 25 11 0 0 13 58 5 495 0 196 1584 40874 39375 0 0 0 4 0 0 137 10 0 0 0 0 0 0 0 0 7 5 0 0 0 0 0 5 7 0 5 3 91 3 0 37 104 0 0 0 11 0 68 5746 0 0 0 0 0 4 0 83 0 0 0 0 324 25 0 22 0 3 0 3 7 37 34 0 3 23 36 6 0 2 88
CK_S7_1 X7 Landrace CK Rhizosphere 1 P11 65 0 0 0 184 0 65 10 231 0 32 3 9 0 0 47 17 23 28 25 0 28 37 0 0 0 8 277 32 0 174 0 10 6 10 25 0 0 506 170 111 3 8 18 16 21 5 0 12 169 0 0 209 35 155 18 0 10 1326 4 4 7 0 6 0 71 1137 0 4 0 0 2 0 16 108 0 12 139 50 741 42 0 0 37 0 1452 0 24 48 3 0 0 0 0 0 0 2596 3730 0 13664 0 0 8 0 0 7 4 25 0 317 40 0 0 0 45 44 13 0 14 52 0 0 0 5 0 43 58 0 420 0 103 0 0 196 54 0 65 1440 203 209 5 55 193 13 47 0 210 14 0 0 53 170 0 0 10 661 1146 302 17 304 61 19 164 137 0 0 6 63 0 18 0 3117 19 878 271 37 30186 0 10 4 9 373 0 3345 529 10 6 0 6 0 0 4 7 119 29 21 0 78 17 3 28 20 0 50 0 144 175 0 12 3020 13 0 64 0 166 1466 262 37 25 0 18 0 0 33 897 15 0 0 0 4712 319 0 702 98 10 53 30 96 3697 76 28 0 0 11 18 7 27 2
CK_S7_2 X7 Landrace CK Rhizosphere 2 P11 0 60 0 30 0 0 25 0 38 23 17 0 493 7 0 39 11 5 14 23 0 6 4 0 0 0 21 2757 0 84 544 0 0 0 9 0 0 0 220 72 129 0 4 0 213 8 0 0 11 31 0 0 14 0 0 0 0 5 52 0 0 0 2 37 0 8 125 0 0 0 0 5 0 0 5 0 0 2 14 13 18 0 0 0 0 148 0 4 2 0 0 0 0 0 15 0 0 0 0 1741 0 0 9 0 0 0 0 4 0 6 9 0 4 0 3 0 0 0 0 8 0 0 0 0 4 13 0 352 691 0 28 0 0 36 12 0 19 615 12 2092 34 381 16694 12 95 162 0 0 0 7 125 34 0 0 189 0 323 474 69 3964 40 83 30 0 92 50 0 63 0 0 34 730 7 1118 1114 28538 26547 0 4 0 4 0 0 350 18 0 0 0 3 0 0 0 5 8 0 0 21 0 0 7 6 15 0 940 0 88 40 0 13 659 19 0 145 0 0 61 37 0 0 3 0 3 0 12 164 64 0 28 0 1284 108 0 75 8 8 23 10 36 1016 23 0 0 0 71 10 0 8 18
CK_S7_3 X7 Landrace CK Rhizosphere 3 P11 16 31 0 0 0 0 15 0 29 0 15 0 40 0 0 0 22 0 26 0 28 0 36 0 0 10 106 1036 0 85 103 0 0 0 3 0 0 0 89 47 42 0 5 14 0 5 0 0 50 65 0 5 18 0 0 0 0 0 109 50 0 0 0 46 0 16 423 0 0 10 0 14 0 0 0 4 5 117 45 66 75 22 0 0 0 139 0 5 0 0 0 0 0 0 0 0 0 13 0 9089 18 11 13 7 0 0 0 0 0 0 0 0 0 0 13 0 0 5 0 0 0 0 0 0 2 3 8 31 108 11 23 114 0 39 11 0 9 826 29 1307 2 95 36 0 119 0 62 0 0 28 108 198 0 35 27 20 977 1576 82 6533 61 66 18 0 34 13 0 20 0 10010 51 5737 0 173 504 3048 33336 3 0 0 5 98 0 484 20 0 0 0 0 0 0 0 3 17 5 0 0 0 0 0 5 11 0 685 17 165 5 0 24 194 0 0 0 0 0 92 0 0 0 0 0 0 5 0 270 89 0 0 0 1797 357 118 75 8 20 20 7 17 378 856 0 0 62 45 9 49 0 6
CK_S70_1 X70 Landrace CK Rhizosphere 1 P11 45 0 3 26 9 0 27 0 75 0 23 0 5 10 0 0 0 8 75 45 0 24 0 0 0 29 462 1670 118 0 192 0 0 0 0 0 0 0 128 39 57 0 10 0 71 8 3 0 0 86 0 0 141 0 0 0 0 0 204 5 0 0 0 0 0 23 250 0 0 4 0 0 0 24 0 0 7 0 12 39 25 0 10 0 0 1234 55 10 46 0 0 0 0 0 0 0 0 11 0 47 0 0 0 0 0 0 3 7 0 17 19 0 0 0 4 0 3 0 0 12 0 0 0 4 0 9 0 0 249 0 25 0 0 60 27 0 16 962 8 248 0 31 0 14 19 0 6 0 0 0 0 214 0 0 7 7 477 311 0 345 66 0 44 0 0 0 2 25 0 0 50807 417 8 116 60 159 5689 2 3 0 0 516 0 1638 70 5 7 0 0 0 3 6 25 36 24 13 0 36 0 2 17 17 0 184 0 44 43 0 0 191 12 188 0 0 0 102 55 33 0 0 0 0 0 0 353 0 9 0 0 1177 99 0 73 13 8 24 7 36 28 35 0 0 0 7 13 113 13 12
CK_S70_2 X70 Landrace CK Rhizosphere 2 P11 10 0 0 23 72 0 15 0 25 0 0 0 9 0 0 15 0 7 0 23 0 4 7 0 0 0 9 911 0 0 215 0 0 0 6 0 2 0 186 126 83 4 3 0 33 4 0 0 149 206 0 0 0 26 0 3 0 9 297 0 17 0 0 0 0 14 1018 0 28 0 0 6 0 5 2 0 0 10 9 7 27 0 0 0 0 157 0 10 0 4 0 0 0 0 70 0 0 0 20 2419 127 77 59 0 0 2 0 4 0 0 0 0 0 0 8 0 0 0 4 5 0 2 0 2 0 4 0 0 1278 0 563 0 0 24 5 0 14 489 8 732 6 15 0 0 68 40 0 0 0 0 16 19 0 0 40 16 164 483 22 1909 26 1120 28 9 85 86 2 38 0 0 89 2525 0 1514 8213 26165 21820 0 4 0 0 0 0 353 22 0 0 0 0 0 0 0 7 12 0 0 0 0 0 0 14 0 0 12 2 87 0 19 6 1019 59 0 12 0 303 3139 0 0 0 3 10 0 0 14 213 0 0 36 0 3353 77 0 51 3 7 10 3 51 143 6 0 128 0 13 5 4 0 17
CK_S70_3 X70 Landrace CK Rhizosphere 3 P11 4 0 0 0 0 0 9 0 11 0 0 0 23 0 0 0 0 0 0 9 0 3 16 0 0 0 112 356 0 0 97 0 0 0 0 0 0 0 49 24 26 0 0 0 10 0 0 2 51 150 0 0 9 0 0 0 0 0 28 0 0 0 0 0 0 6 75 0 0 0 3 2 0 4 0 0 0 0 0 0 19 11 0 0 0 110 0 2 0 0 0 0 0 0 0 0 0 0 0 990 41 0 25 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 74 0 19 0 393 15 0 0 0 10 0 0 0 107 0 209 3 59 0 0 41 0 18 0 0 0 116 97 0 0 102 0 298 234 26 4223 21 9 6 9 6 0 0 0 9 606 6 315 0 3156 860 6608 65822 0 0 0 0 0 0 177 0 0 0 0 3 0 0 0 0 9 0 0 0 0 0 0 0 4 0 3 3 102 5 0 43 157 0 0 0 0 0 55 122 0 0 0 0 0 0 0 76 0 3 0 14 751 28 0 20 7 0 14 0 9 25 0 11 21 11 5 0 24 0 39
CK_S71_1 X71 Landrace CK Rhizosphere 1 P14 60 0 12 22 27 0 18 0 35 0 20 0 7 0 0 0 0 85 33 17 0 10 0 0 21 0 35 368 0 120 58 0 3 6 3 0 0 0 127 35 38 3 5 7 75 8 0 0 31 174 0 0 64 13 0 3 0 0 231 7 0 0 0 24 0 22 304 0 0 0 0 48 0 21 9 0 8 0 12 14 65 0 18 0 0 759 0 21 5 0 0 0 0 0 0 0 116 130 0 6027 133 182 0 0 3 3 14 13 0 7 26 0 0 0 9 5 0 0 10 18 0 5 0 4 0 13 0 0 84 0 17 15 0 85 25 0 27 5483 16 820 0 135 12 12 42 0 16 0 7 0 31 114 0 0 22 99 1404 3602 39 237 2311 0 84 7 0 0 13 24 0 0 4159 6128 9 95 26 117 4005 0 4 2 8 88 0 1027 67 0 8 0 0 0 2 2 4 51 15 7 0 34 0 0 7 3 0 32 0 52 120 0 0 419 4 12 0 0 0 150 114 23 0 3 0 0 0 0 594 35 0 0 0 1786 208 12 140 19 14 45 16 60 50 31 0 0 0 7 22 5 0 26
CK_S71_2 X71 Landrace CK Rhizosphere 2 P14 39 20 0 18 23 0 22 0 41 0 0 0 68 0 0 9 0 9 14 0 0 0 0 0 12 8 0 2444 161 1004 3931 0 0 5 10 0 9 0 467 420 250 0 2 0 10 0 0 0 4 39 0 0 21 0 0 2 7 56 202 7 0 0 6 0 119 18 270 0 0 10 6 16 0 23 0 0 0 6 12 346 487 55 0 0 0 255 0 10 8 0 0 0 0 0 2 0 0 5 0 5721 44 22 39 0 0 2 3 33 0 71 92 0 0 0 0 0 2 0 8 7 0 0 0 0 15 11 0 0 696 0 19 0 0 42 12 0 13 577 14 2247 6 63 3 0 1679 80 32 0 0 28 55 40 0 5 53 16 4203 1137 54 687 596 5040 50 0 235 190 6 63 24 12 399 2077 0 437 1288 6758 0 0 0 0 7 86 0 741 37 7 25 0 0 3 0 0 6 31 0 0 0 0 19 0 6 196 0 57 3 173 0 17 21 8567 9 0 13 0 11 129 0 0 163 0 7 2 0 32 291 0 0 0 0 1422 55 0 46 0 15 34 10 152 344 16 0 0 108 0 0 11 16 0
